#Name,RGB
Merlot,"(131, 25, 35)"
Almond Frost,"(144, 123, 113)"
Silver,"(197, 201, 199)"
Tiger Orange,"(200, 129, 65)"
Tropical Rain Forest,"(0, 117, 94)"
Onyx,"(15, 15, 15)"
Dusty Blue,"(90, 134, 173)"
Dull Red,"(187, 63, 63)"
Wattle,"(220, 215, 71)"
Chathams Blue,"(23, 85, 121)"
Cascade,"(139, 169, 165)"
Oriental Pink,"(198, 145, 145)"
Fire Engine Red,"(206, 32, 41)"
Woody Brown,"(72, 49, 49)"
Dark Blue Grey,"(31, 59, 77)"
Sand Brown,"(203, 165, 96)"
Flame,"(226, 88, 34)"
Dawn Pink,"(243, 233, 229)"
Indian Red,"(205, 92, 92)"
Bluish,"(41, 118, 187)"
Moonstone Blue,"(115, 169, 194)"
Greenish Blue,"(48, 125, 126)"
Rope,"(142, 77, 30)"
Sorrell Brown,"(206, 185, 143)"
Golden Bell,"(226, 137, 19)"
